Year,Actor,winner
1978,Laurence Olivier,0
1979,Dustin Hoffman,1
1979,Jack Lemmon,0
1979,Al Pacino,0
1979,Roy Scheider,0
1979,Peter Sellers,0
1980,Robert De Niro,1
1980,Robert Duvall,0
1980,John Hurt,0
1980,Jack Lemmon,0
1980,Peter O'Toole,0
1981,Henry Fonda,1
1981,Warren Beatty,0
1981,Burt Lancaster,0
1981,Dudley Moore,0
1981,Paul Newman,0
1982,Ben Kingsley,1
1982,Dustin Hoffman,0
1982,Jack Lemmon,0
1982,Paul Newman,0
1982,Peter O'Toole,0
1983,Robert Duvall,1
1983,Michael Caine,0
1983,Tom Conti,0
1983,Tom Courtenay,0
1983,Albert Finney,0
1984,F. Murray Abraham,1
1984,Jeff Bridges,0
1984,Albert Finney,0
1984,Tom Hulce,0
1984,Sam Waterston,0
1985,William Hurt,1
1985,Harrison Ford,0
1985,James Garner,0
1985,Jack Nicholson,0
1985,Jon Voight,0
1986,Paul Newman,1
1986,Dexter Gordon,0
1986,Bob Hoskins,0
1986,William Hurt,0
1986,James Woods,0
1987,Michael Douglas,1
1987,William Hurt,0
1987,Marcello Mastroianni,0
1987,Jack Nicholson,0
1987,Robin Williams,0
1988,Dustin Hoffman,1
1988,Gene Hackman,0
1988,Tom Hanks,0
1988,Edward James Olmos,0
1988,Max von Sydow,0
1989,Daniel Day-Lewis,1
1989,Kenneth Branagh,0
1989,Tom Cruise,0
1989,Morgan Freeman,0
1989,Robin Williams,0
1990,Jeremy Irons,1
1990,Kevin Costner,0
1990,Robert De Niro,0
1990,Gérard Depardieu,0
1990,Richard Harris,0
1991,Anthony Hopkins,1
1991,Warren Beatty,0
1991,Robert De Niro,0
1991,Nick Nolte,0
1991,Robin Williams,0
1992,Al Pacino,1
1992,Robert Downey Jr.,0
1992,Clint Eastwood,0
1992,Stephen Rea,0
1992,Denzel Washington,0
1993,Tom Hanks,1
1993,Daniel Day-Lewis,0
1993,Laurence Fishburne,0
1993,Anthony Hopkins,0
1993,Liam Neeson,0
1994,Tom Hanks,1
1994,Morgan Freeman,0
1994,Nigel Hawthorne,0
1994,Paul Newman,0
1994,John Travolta,0
