Year,Actor,winner
1962,Katharine Hepburn,0
1962,Geraldine Page,0
1962,Lee Remick,0
1963,Patricia Neal,1
1963,Leslie Caron,0
1963,Shirley MacLaine,0
1963,Rachel Roberts,0
1963,Natalie Wood,0
1964,Julie Andrews,1
1964,Anne Bancroft,0
1964,Sophia Loren,0
1964,Debbie Reynolds,0
1964,Kim Stanley,0
1965,Julie Christie,1
1965,Julie Andrews,0
1965,Samantha Eggar,0
1965,Elizabeth Hartman,0
1965,Simone Signoret,0
1966,Elizabeth Taylor,1
1966,Anouk Aimée,0
1966,Ida Kamińska,0
1966,Lynn Redgrave,0
1966,Vanessa Redgrave,0
1967,Katharine Hepburn,1
1967,Anne Bancroft,0
1967,Faye Dunaway,0
1967,Edith Evans,0
1967,Audrey Hepburn,0
1968,Katharine Hepburn,1
1968,Barbra Streisand,1
1968,Patricia Neal,0
1968,Vanessa Redgrave,0
1968,Joanne Woodward,0
1969,Maggie Smith,1
1969,Geneviève Bujold,0
1969,Jane Fonda,0
1969,Liza Minnelli,0
1969,Jean Simmons,0
1970,Glenda Jackson,1
1970,Jane Alexander,0
1970,Ali MacGraw,0
1970,Sarah Miles,0
1970,Carrie Snodgress,0
1971,Jane Fonda,1
1971,Julie Christie,0
1971,Glenda Jackson,0
1971,Vanessa Redgrave,0
1971,Janet Suzman,0
1972,Liza Minnelli,1
1972,Diana Ross,0
1972,Maggie Smith,0
1972,Cicely Tyson,0
1972,Liv Ullmann,0
1973,Glenda Jackson,1
1973,Ellen Burstyn,0
1973,Marsha Mason,0
1973,Barbra Streisand,0
1973,Joanne Woodward,0
1974,Ellen Burstyn,1
1974,Diahann Carroll,0
1974,Faye Dunaway,0
1974,Valerie Perrine,0
1974,Gena Rowlands,0
1975,Louise Fletcher,1
1975,Isabelle Adjani,0
1975,Ann-Margret,0
1975,Glenda Jackson,0
1975,Carol Kane,0
1976,Faye Dunaway,1
1976,Marie-Christine Barrault,0
1976,Talia Shire,0
1976,Sissy Spacek,0
1976,Liv Ullmann,0
1977,Diane Keaton,1
1977,Anne Bancroft,0
1977,Jane Fonda,0
1977,Shirley MacLaine,0
1977,Marsha Mason,0
1978,Jane Fonda,1
1978,Ingrid Bergman,0
1978,Ellen Burstyn,0
1978,Jill Clayburgh,0
1978,Geraldine Page,0
1979,Sally Field,1
1979,Jill Clayburgh,0
1979,Jane Fonda,0
1979,Marsha Mason,0
1979,Bette Midler,0
1980,Sissy Spacek,1
1980,Ellen Burstyn,0
1980,Goldie Hawn,0
1980,Mary Tyler Moore,0
1980,Gena Rowlands,0
1981,Katharine Hepburn,1
1981,Diane Keaton,0
1981,Marsha Mason,0
1981,Susan Sarandon,0
1981,Meryl Streep,0
1982,Meryl Streep,1
1982,Julie Andrews,0
1982,Jessica Lange,0
1982,Sissy Spacek,0
1982,Debra Winger,0
1983,Shirley MacLaine,1
1983,Jane Alexander,0
1983,Meryl Streep,0
1983,Julie Walters,0
1983,Debra Winger,0
1984,Sally Field,1
1984,Judy Davis,0
1984,Jessica Lange,0
1984,Vanessa Redgrave,0
1984,Sissy Spacek,0
1985,Geraldine Page,1
1985,Anne Bancroft,0
1985,Whoopi Goldberg,0
1985,Jessica Lange,0
1985,Meryl Streep,0
1986,Marlee Matlin,1
1986,Jane Fonda,0
1986,Sissy Spacek,0
1986,Kathleen Turner,0
1986,Sigourney Weaver,0
1987,Cher,1
1987,Glenn Close,0
1987,Holly Hunter,0
1987,Sally Kirkland,0
1987,Meryl Streep,0
1988,Jodie Foster,1
1988,Glenn Close,0
1988,Melanie Griffith,0
1988,Meryl Streep,0
1988,Sigourney Weaver,0
1989,Jessica Tandy,1
1989,Isabelle Adjani,0
1989,Pauline Collins,0
1989,Jessica Lange,0
1989,Michelle Pfeiffer,0
1990,Kathy Bates,1
1990,Anjelica Huston,0
1990,Julia Roberts,0
1990,Meryl Streep,0
1990,Joanne Woodward,0
1991,Jodie Foster,1
1991,Geena Davis,0
1991,Laura Dern,0
1991,Bette Midler,0
1991,Susan Sarandon,0
1992,Emma Thompson,1
1992,Catherine Deneuve,0
1992,Mary McDonnell,0
1992,Michelle Pfeiffer,0
1992,Susan Sarandon,0
1993,Holly Hunter,1
1993,Angela Bassett,0
1993,Stockard Channing,0
1993,Emma Thompson,0
1993,Debra Winger,0
1994,Jessica Lange,1
1994,Jodie Foster,0
1994,Miranda Richardson,0
1994,Winona Ryder,0
1994,Susan Sarandon,0
1995,Susan Sarandon,1
1995,Elisabeth Shue,0
1995,Sharon Stone,0
1995,Meryl Streep,0
1995,Emma Thompson,0
1996,Frances McDormand,1
1996,Brenda Blethyn,0
1996,Diane Keaton,0
1996,Kristin Scott Thomas,0
1996,Emily Watson,0
1997,Helen Hunt,1
1997,Helena Bonham Carter,0
1997,Julie Christie,0
1997,Judi Dench,0
1997,Kate Winslet,0
1998,Gwyneth Paltrow,1
1998,Cate Blanchett,0
1998,Fernanda Montenegro,0
1998,Meryl Streep,0
1998,Emily Watson,0
1999,Hilary Swank,1
1999,Annette Bening,0
1999,Janet McTeer,0
1999,Julianne Moore,0
1999,Meryl Streep,0
2000,Julia Roberts,1
2000,Joan Allen,0
2000,Juliette Binoche,0
2000,Ellen Burstyn,0
2000,Laura Linney,0
2001,Halle Berry,1
2001,Judi Dench,0
2001,Nicole Kidman,0
2001,Sissy Spacek,0
2001,Renée Zellweger,0
2002,Nicole Kidman,1
2002,Salma Hayek,0
2002,Diane Lane,0
2002,Julianne Moore,0
2002,Renée Zellweger,0
2003,Charlize Theron,1
2003,Keisha Castle-Hughes,0
2003,Diane Keaton,0
2003,Samantha Morton,0
2003,Naomi Watts,0
2004,Hilary Swank,1
2004,Annette Bening,0
2004,Catalina Sandino Moreno,0
2004,Imelda Staunton,0
2004,Kate Winslet,0
2005,Reese Witherspoon,1
2005,Judi Dench,0
2005,Felicity Huffman,0
2005,Keira Knightley,0
2005,Charlize Theron,0
2006,Helen Mirren,1
2006,Penélope Cruz,0
2006,Judi Dench,0
2006,Meryl Streep,0
2006,Kate Winslet,0
2007,Marion Cotillard,1
2007,Cate Blanchett,0
2007,Julie Christie,0
2007,Laura Linney,0
2007,Ellen Page,0
2008,Kate Winslet,1
2008,Anne Hathaway,0
2008,Angelina Jolie,0
2008,Melissa Leo,0
2008,Meryl Streep,0
2009,Sandra Bullock,1
2009,Helen Mirren,0
2009,Carey Mulligan,0
2009,Gabourey Sidibe,0
2009,Meryl Streep,0
2010,Natalie Portman,1
2010,Annette Bening,0
2010,Nicole Kidman,0
2010,Jennifer Lawrence,0
2010,Michelle Williams,0
2011,Meryl Streep,1
2011,Glenn Close,0
2011,Viola Davis,0
2011,Rooney Mara,0
2011,Michelle Williams,0
2012,Jennifer Lawrence,1
2012,Jessica Chastain,0
2012,Emmanuelle Riva,0
2012,Quvenzhané Wallis,0
2012,Naomi Watts,0
2013,Cate Blanchett,1
2013,Amy Adams,0
2013,Sandra Bullock,0
2013,Judi Dench,0
2013,Meryl Streep,0
2014,Julianne Moore,1
2014,Marion Cotillard,0
2014,Felicity Jones,0
2014,Rosamund Pike,0
2014,Reese Witherspoon,0
2015,Brie Larson,1
2015,Cate Blanchett,0
2015,Jennifer Lawrence,0
2015,Charlotte Rampling,0
2015,Saoirse Ronan,0
2016,Emma Stone,1
2016,Isabelle Huppert,0
2016,Ruth Negga,0
2016,Natalie Portman,0
2016,Meryl Streep,0
2017,Frances McDormand,1
2017,Sally Hawkins,0
2017,Margot Robbie,0
2017,Saoirse Ronan,0
2017,Meryl Streep,0
2018,Olivia Colman,1
2018,Yalitza Aparicio,0
2018,Glenn Close,0
2018,Lady Gaga,0
2018,Melissa McCarthy,0
1936,Walter Brennan,1
1936,Mischa Auer,0
1936,Stuart Erwin,0
1936,Basil Rathbone,0
1936,Akim Tamiroff,0
1937,Joseph Schildkraut,1
1937,Ralph Bellamy,0
1937,Thomas Mitchell,0
1937,H. B. Warner,0
1937,Roland Young,0
1938,Walter Brennan,1
1938,John Garfield,0
1938,Gene Lockhart,0
1938,Robert Morley,0
1938,Basil Rathbone,0
1939,Thomas Mitchell,1
1939,Brian Aherne,0
1939,Harry Carey,0
1939,Brian Donlevy,0
1939,Claude Rains,0
1940,Walter Brennan,1
1940,Albert Bassermann,0
1940,William Gargan,0
1940,Jack Oakie,0
1940,James Stephenson,0
1941,Donald Crisp,1
1941,Walter Brennan,0
1941,Charles Coburn,0
1941,James Gleason,0
1941,Sydney Greenstreet,0
1942,Van Heflin,1
1942,William Bendix,0
1942,Walter Huston,0
1942,Frank Morgan,0
1942,Henry Travers,0
1943,Charles Coburn,1
1943,Charles Bickford,0
1943,J. Carrol Naish,0
1943,Claude Rains,0
1943,Akim Tamiroff,0
1944,Barry Fitzgerald,1
1944,Hume Cronyn,0
1944,Claude Rains,0
1944,Clifton Webb,0
1944,Monty Woolley,0
1945,James Dunn,1
1945,Michael Chekhov,0
1945,John Dall,0
1945,Robert Mitchum,0
1945,J. Carrol Naish,0
1946,Harold Russell,1
1946,Charles Coburn,0
1946,William Demarest,0
1946,Claude Rains,0
1946,Clifton Webb,0
1947,Edmund Gwenn,1
1947,Charles Bickford,0
1947,Thomas Gomez,0
1947,Robert Ryan,0
1947,Richard Widmark,0
1948,Walter Huston,1
1948,Charles Bickford,0
1948,José Ferrer,0
1948,Oscar Homolka,0
1948,Cecil Kellaway,0
1949,Dean Jagger,1
1949,John Ireland,0
1949,Arthur Kennedy,0
1949,Ralph Richardson,0
1949,James Whitmore,0
1950,George Sanders,1
1950,Jeff Chandler,0
1950,Edmund Gwenn,0
1950,Sam Jaffe,0
1950,Erich von Stroheim,0
1951,Karl Malden,1
1951,Leo Genn,0
1951,Kevin McCarthy,0
1951,Peter Ustinov,0
1951,Gig Young,0
1952,Anthony Quinn,1
1952,Richard Burton,0
1952,Arthur Hunnicutt,0
1952,Victor McLaglen,0
1952,Jack Palance,0
1953,Frank Sinatra,1
1953,Eddie Albert,0
1953,Brandon deWilde,0
1953,Jack Palance,0
1953,Robert Strauss,0
1954,Edmond O'Brien,1
1954,Lee J. Cobb,0
1954,Karl Malden,0
1954,Rod Steiger,0
1954,Tom Tully,0
1955,Jack Lemmon,1
1955,Arthur Kennedy,0
1955,Joe Mantell,0
1955,Sal Mineo,0
1955,Arthur O'Connell,0
1956,Anthony Quinn,1
1956,Don Murray,0
1956,Anthony Perkins,0
1956,Mickey Rooney,0
1956,Robert Stack,0
1957,Red Buttons,1
1957,Vittorio De Sica,0
1957,Sessue Hayakawa,0
1957,Arthur Kennedy,0
1957,Russ Tamblyn,0
1958,Burl Ives,1
1958,Theodore Bikel,0
1958,Lee J. Cobb,0
1958,Arthur Kennedy,0
1958,Gig Young,0
1959,Hugh Griffith,1
1959,Arthur O'Connell,0
1959,George C. Scott,0
1959,Robert Vaughn,0
1959,Ed Wynn,0
1960,Peter Ustinov,1
1960,Peter Falk,0
1960,Jack Kruschen,0
1960,Sal Mineo,0
1960,Chill Wills,0
1961,George Chakiris,1
1961,Montgomery Clift,0
1961,Peter Falk,0
1961,Jackie Gleason,0
1961,George C. Scott,0
1962,Ed Begley,1
1962,Victor Buono,0
1962,Telly Savalas,0
1962,Omar Sharif,0
1962,Terence Stamp,0
1963,Melvyn Douglas,1
1963,Nick Adams,0
1963,Bobby Darin,0
1963,Hugh Griffith,0
1963,John Huston,0
1964,Peter Ustinov,1
1964,John Gielgud,0
1964,Stanley Holloway,0
1964,Edmond O'Brien,0
1964,Lee Tracy,0
1965,Martin Balsam,1
1965,Ian Bannen,0
1965,Tom Courtenay,0
1965,Michael Dunn,0
1965,Frank Finlay,0
1966,Walter Matthau,1
1966,Mako,0
1966,James Mason,0
1966,George Segal,0
1966,Robert Shaw,0
1967,George Kennedy,1
1967,John Cassavetes,0
1967,Gene Hackman,0
1967,Cecil Kellaway,0
1967,Michael J. Pollard,0
1968,Jack Albertson,1
1968,Seymour Cassel,0
1968,Daniel Massey,0
1968,Jack Wild,0
1968,Gene Wilder,0
1969,Gig Young,1
1969,Rupert Crosse,0
1969,Elliott Gould,0
1969,Jack Nicholson,0
1969,Anthony Quayle,0
1970,John Mills,1
1970,Richard S. Castellano,0
1970,Chief Dan George,0
1970,Gene Hackman,0
1970,John Marley,0
1971,Ben Johnson,1
1971,Jeff Bridges,0
1971,Leonard Frey,0
1971,Richard Jaeckel,0
1971,Roy Scheider,0
1972,Joel Grey,1
1972,Eddie Albert,0
1972,James Caan,0
1972,Robert Duvall,0
1972,Al Pacino,0
1973,John Houseman,1
1973,Vincent Gardenia,0
1973,Jack Gilford,0
1973,Jason Miller,0
1973,Randy Quaid,0
1974,Robert De Niro,1
1974,Fred Astaire,0
1974,Jeff Bridges,0
1974,Michael V. Gazzo,0
1974,Lee Strasberg,0
1975,George Burns,1
1975,Brad Dourif,0
1975,Burgess Meredith,0
1975,Chris Sarandon,0
1975,Jack Warden,0
1976,Jason Robards,1
1976,Ned Beatty,0
1976,Burgess Meredith,0
1976,Laurence Olivier,0
1976,Burt Young,0
1977,Jason Robards,1
1977,Mikhail Baryshnikov,0
1977,Peter Firth,0
1977,Alec Guinness,0
1977,Maximilian Schell,0
1978,Christopher Walken,1
1978,Bruce Dern,0
1978,Richard Farnsworth,0
1978,John Hurt,0
1978,Jack Warden,0
1979,Melvyn Douglas,1
1979,Robert Duvall,0
1979,Frederic Forrest,0
1979,Justin Henry,0
1979,Mickey Rooney,0
1980,Timothy Hutton,1
1980,Judd Hirsch,0
1980,Michael O'Keefe,0
1980,Joe Pesci,0
1980,Jason Robards,0
1981,John Gielgud,1
1981,James Coco,0
1981,Ian Holm,0
1981,Jack Nicholson,0
1981,Howard Rollins,0
1982,Louis Gossett Jr.,1
1982,Charles Durning,0
1982,John Lithgow,0
1982,James Mason,0
1982,Robert Preston,0
1983,Jack Nicholson,1
1983,Charles Durning,0
1983,John Lithgow,0
1983,Sam Shepard,0
1983,Rip Torn,0
1984,Haing S. Ngor,1
1984,Adolph Caesar,0
1984,John Malkovich,0
1984,Pat Morita,0
1984,Ralph Richardson,0
1985,Don Ameche,1
1985,Klaus Maria Brandauer,0
1985,William Hickey,0
1985,Robert Loggia,0
1985,Eric Roberts,0
1986,Michael Caine,1
1986,Tom Berenger,0
1986,Willem Dafoe,0
1986,Denholm Elliott,0
1986,Dennis Hopper,0
1987,Sean Connery,1
1987,Albert Brooks,0
1987,Morgan Freeman,0
1987,Vincent Gardenia,0
1987,Denzel Washington,0
1988,Kevin Kline,1
1988,Alec Guinness,0
1988,Martin Landau,0
1988,River Phoenix,0
1988,Dean Stockwell,0
1989,Denzel Washington,1
1989,Danny Aiello,0
1989,Dan Aykroyd,0
1989,Marlon Brando,0
1989,Martin Landau,0
1990,Joe Pesci,1
1990,Bruce Davison,0
1990,Andy García,0
1990,Graham Greene,0
1990,Al Pacino,0
1991,Jack Palance,1
1991,Tommy Lee Jones,0
1991,Harvey Keitel,0
1991,Ben Kingsley,0
1991,Michael Lerner,0
1992,Gene Hackman,1
1992,Jaye Davidson,0
1992,Jack Nicholson,0
1992,Al Pacino,0
1992,David Paymer,0
1993,Tommy Lee Jones,1
1993,Leonardo DiCaprio,0
1993,Ralph Fiennes,0
1993,John Malkovich,0
1993,Pete Postlethwaite,0
1994,Martin Landau,1
1994,Samuel L. Jackson,0
1994,Chazz Palminteri,0
1994,Paul Scofield,0
1994,Gary Sinise,0
1995,Kevin Spacey,1
1995,James Cromwell,0
1995,Ed Harris,0
1995,Brad Pitt,0
1995,Tim Roth,0
1996,Cuba Gooding Jr.,1
1996,William H. Macy,0
1996,Armin Mueller-Stahl,0
1996,Edward Norton,0
1996,James Woods,0
1997,Robin Williams,1
1997,Robert Forster,0
1997,Anthony Hopkins,0
1997,Greg Kinnear,0
1997,Burt Reynolds,0
1998,James Coburn,1
1998,Robert Duvall,0
1998,Ed Harris,0
1998,Geoffrey Rush,0
1998,Billy Bob Thornton,0
1999,Michael Caine,1
1999,Tom Cruise,0
1999,Michael Clarke Duncan,0
1999,Jude Law,0
1999,Haley Joel Osment,0
2000,Benicio del Toro,1
2000,Jeff Bridges,0
2000,Willem Dafoe,0
2000,Albert Finney,0
2000,Joaquin Phoenix,0
2001,Jim Broadbent,1
2001,Ethan Hawke,0
2001,Ben Kingsley,0
2001,Ian McKellen,0
2001,Jon Voight,0
2002,Chris Cooper,1
2002,Ed Harris,0
2002,Paul Newman,0
2002,John C. Reilly,0
2002,Christopher Walken,0
2003,Tim Robbins,1
2003,Alec Baldwin,0
2003,Benicio del Toro,0
2003,Djimon Hounsou,0
2003,Ken Watanabe,0
2004,Morgan Freeman,1
2004,Alan Alda,0
2004,Thomas Haden Church,0
2004,Jamie Foxx,0
2004,Clive Owen,0
2005,George Clooney,1
2005,Matt Dillon,0
2005,Paul Giamatti,0
2005,Jake Gyllenhaal,0
2005,William Hurt,0
2006,Alan Arkin,1
2006,Jackie Earle Haley,0
2006,Djimon Hounsou,0
2006,Eddie Murphy,0
2006,Mark Wahlberg,0
2007,Javier Bardem,1
2007,Casey Affleck,0
2007,Philip Seymour Hoffman,0
2007,Hal Holbrook,0
2007,Tom Wilkinson,0
2008,Heath Ledger,1
2008,Josh Brolin,0
2008,Robert Downey Jr.,0
2008,Philip Seymour Hoffman,0
2008,Michael Shannon,0
2009,Christoph Waltz,1
2009,Matt Damon,0
2009,Woody Harrelson,0
2009,Christopher Plummer,0
2009,Stanley Tucci,0
2010,Christian Bale,1
2010,John Hawkes,0
2010,Jeremy Renner,0
2010,Mark Ruffalo,0
2010,Geoffrey Rush,0
2011,Christopher Plummer,1
2011,Kenneth Branagh,0
2011,Jonah Hill,0
2011,Nick Nolte,0
2011,Max von Sydow,0
2012,Christoph Waltz,1
2012,Alan Arkin,0
2012,Robert De Niro,0
2012,Philip Seymour Hoffman,0
2012,Tommy Lee Jones,0
2013,Jared Leto,1
2013,Barkhad Abdi,0
2013,Bradley Cooper,0
2013,Michael Fassbender,0
2013,Jonah Hill,0
2014,J. K. Simmons,1
2014,Robert Duvall,0
2014,Ethan Hawke,0
2014,Edward Norton,0
2014,Mark Ruffalo,0
2015,Mark Rylance,1
2015,Christian Bale,0
2015,Tom Hardy,0
2015,Mark Ruffalo,0
2015,Sylvester Stallone,0
2016,Mahershala Ali,1
2016,Jeff Bridges,0
2016,Lucas Hedges,0
2016,Dev Patel,0
2016,Michael Shannon,0
2017,Sam Rockwell,1
2017,Willem Dafoe,0
2017,Woody Harrelson,0
2017,Richard Jenkins,0
2017,Christopher Plummer,0
2018,Mahershala Ali,1
2018,Adam Driver,0
2018,Sam Elliott,0
2018,Richard E. Grant,0
2018,Sam Rockwell,0
